SOURCE, 0000 006D 000C 0000 0023 001E 0024 001E 0047 001D 0024 001E 0024 001E 0024 0041 0024 001E 0024 001E 0024 001E 0047 001D 0024 001E 0024 0DAC
NETFLIX, 0000 006D 000C 0000 0020 0022 0046 001E 0020 0022 0020 0022 0020 0022 0020 0044 0020 0022 0046 001E 0020 0044 0020 0022 0020 0021 0020 0DAC
YOUTUBE, 0000 006D 000B 0000 0025 001D 0043 0022 0024 001D 0024 001D 0024 001D 0024 0040 0024 001D 0043 0044 0043 0022 0024 003F 0024 0DAC
PLAY, 0000 006D 000B 0000 0020 0022 0020 0022 0046 001E 0020 0022 0020 0022 0020 0044 0046 0040 0020 0022 0046 001E 0021 0042 0021 0DAC
RECORD, 0000 006D 000C 0000 0020 0022 0020 0022 0045 001F 0020 0022 0020 0022 0020 0044 0020 0022 0020 0022 0045 001F 0020 0044 0020 0021 0020 0DAC
REWIND, 0000 006D 000B 0000 0024 001D 0042 0022 0024 001D 0024 001D 0024 001D 0024 0040 0042 0044 0024 001D 0042 0044 0024 001D 0024 0DAC
LANGUAGE, 0000 006D 000C 0000 0023 001E 0043 0022 0023 001E 0023 001E 0023 001F 0023 0041 0042 0022 0023 0041 0023 001F 0023 001F 0023 001E 0023 0DAC
RED, 0000 006D 000C 0000 0020 0022 0045 001F 0020 0022 0020 0022 0020 0022 0020 0044 0020 0022 0020 0022 0045 0042 0020 0022 0020 0021 0020 0DAC
GREEN, 0000 006D 000B 0000 001F 0023 001F 0023 0043 0021 001F 0023 001F 0023 001F 0045 001F 0023 001F 0023 0043 0044 001F 0023 0043 0DAC
TV, 0000 006D 000B 0000 0024 001D 0024 001D 0042 0022 0024 001D 0024 001D 0024 0040 0024 001D 0042 0022 0024 0040 0024 001D 0042 0DAC
MENU, 0000 006D 000C 0000 0024 001E 0046 001F 0023 001E 0024 001E 0024 001E 0024 0040 0024 001E 0024 001E 0046 001E 0024 001E 0024 001E 0024 0DAC
INTERNET, 0000 006D 000B 0000 0022 0020 0022 0020 0044 0020 0022 0020 0022 0020 0022 0042 0023 001F 0044 0043 0022 0020 0022 0020 0044 0DAC
VOLUME UP, 0000 006D 000B 0000 0025 001D 0025 001D 0044 0020 0025 001D 0025 001D 0025 0040 0044 0042 0044 0020 0025 001D 0025 001D 0025 0DAC
